timestamp,price,bid,ask
1763424063,92056.77972985902,0.37,0.39
1763424064,92052.52147480406,0.38,0.39
1763424065,92051.7967615,0.38,0.39
1763424066,92048.91006384187,0.37,0.39
1763424067,92048.2458834228,0.35,0.36
1763424068,92039.4175170117,0.33,0.34
1763424069,92031.69851951169,0.32,0.33
1763424070,92017.27493102927,0.31,0.32
1763424071,92017.16492352927,0.31,0.32
1763424072,92013.54380522568,0.34,0.36
1763424073,92014.64935022568,0.34,0.36
1763424074,92025.32697311533,0.33,0.35
1763424075,92025.32697311533,0.33,0.35
1763424076,92024.16724332953,0.31,0.33
1763424077,92023.3573399537,0.31,0.33
1763424078,92016.41703545437,0.33,0.35
1763424079,92021.45476093033,0.32,0.34
1763424080,92021.45476093033,0.32,0.34
1763424081,92014.69719234049,0.31,0.33
1763424082,92014.69719234049,0.31,0.33
1763424083,92011.77305065331,0.32,0.34
1763424084,92014.5837859629,0.34,0.35
1763424085,92017.68680469361,0.34,0.35
1763424086,92021.30245721755,0.31,0.32
1763424087,92021.30245721755,0.31,0.32
1763424088,92016.16279248345,0.31,0.32
1763424089,92014.8281319668,0.31,0.34
1763424090,92014.9600514668,0.31,0.33
1763424091,92016.1508219643,0.29,0.33
1763424092,92014.930736746,0.29,0.31
1763424093,92007.33849615291,0.31,0.33
1763424094,92009.65660003568,0.32,0.34
1763424095,92013.03237862096,0.33,0.35
1763424096,92015.01277772259,0.34,0.36
1763424097,92020.63084709339,0.34,0.36
1763424098,92027.3274436899,0.34,0.36
1763424099,92027.3274436899,0.34,0.36
1763424100,92027.56640929994,0.34,0.36
1763424101,92027.57773467638,0.33,0.36
1763424102,92027.58215511432,0.34,0.36
1763424103,92027.25876501523,0.35,0.36
1763424104,92031.45863868078,0.37,0.39
1763424105,92032.38894251462,0.37,0.39
1763424106,92036.776661,0.37,0.38
1763424107,92036.813725,0.37,0.38
1763424108,92037.187699,0.37,0.38
1763424109,92037.46583057087,0.37,0.38
1763424110,92038.0846647162,0.37,0.38
1763424111,92034.7705782153,0.34,0.36
1763424112,92031.72295463014,0.34,0.36
1763424113,92032.24717410469,0.35,0.36
1763424114,92032.27352810469,0.36,0.37
1763424115,92036.27159852504,0.36,0.37
1763424116,92034.7021842463,0.35,0.38
1763424117,92036.8010795,0.36,0.37
1763424118,92039.1393048117,0.36,0.38
1763424119,92039.03464152743,0.37,0.38
1763424121,92042.91989626289,0.37,0.38
1763424122,92044.56588904551,0.37,0.38
1763424123,92044.56588904551,0.37,0.38
1763424124,92046.18152832218,0.39,0.4
1763424125,92054.75663308919,0.39,0.4
1763424126,92054.75663308919,0.39,0.4
1763424127,92054.2665980072,0.39,0.4
1763424128,92054.01325319846,0.39,0.4
1763424129,92054.01512321636,0.41,0.42
1763424130,92054.05175697985,0.41,0.42
1763424131,92065.23795781995,0.43,0.44
1763424132,92065.53745048803,0.43,0.44
1763424133,92076.51650777906,0.44,0.45
1763424134,92076.51650777906,0.43,0.45
1763424135,92077.34720210911,0.48,0.5
1763424136,92083.41740057057,0.49,0.5
1763424137,92099.38572727042,0.49,0.5
1763424138,92101.72754034384,0.48,0.5
1763424139,92098.33054356337,0.49,0.5
1763424140,92098.26730495386,0.5,0.51
1763424141,92098.26730495386,0.5,0.51
1763424142,92103.34325954482,0.55,0.56
1763424143,92103.34325954482,0.55,0.56
1763424144,92119.96572,0.54,0.56
1763424145,92121.26058027556,0.53,0.54
1763424146,92116.01036074941,0.49,0.5
1763424147,92115.73442532531,0.46,0.5
1763424148,92090.53480043578,0.45,0.48
1763424149,92090.52602193579,0.47,0.48
1763424150,92086.07821646234,0.46,0.47
1763424151,92086.05430596233,0.47,0.48
1763424152,92084.55912095605,0.46,0.48
1763424153,92088.40731007815,0.44,0.47
1763424154,92088.00555157816,0.46,0.47
1763424155,92084.60187808142,0.46,0.47
1763424156,92084.60187808142,0.46,0.47
1763424157,92084.89839583718,0.46,0.48
1763424158,92085.87726677443,0.47,0.48
1763424159,92087.44650301972,0.45,0.47
1763424160,92087.44650301972,0.44,0.46
1763424161,92080.63152703005,0.46,0.47
1763424162,92078.27824831424,0.47,0.48
1763424163,92092.54099238648,0.49,0.5
1763424164,92092.71933070626,0.51,0.52
1763424165,92102.8946938237,0.52,0.54
1763424166,92112.52532799462,0.52,0.54
1763424167,92112.52532799462,0.53,0.54
1763424168,92114.5228042701,0.56,0.58
1763424169,92125.69334022827,0.56,0.58
1763424170,92135.02918206004,0.55,0.58
1763424171,92134.52854865804,0.56,0.58
1763424172,92137.2480212487,0.54,0.57
1763424173,92136.21941131062,0.54,0.55
1763424174,92129.79395473406,0.53,0.55
1763424175,92122.63328882064,0.53,0.55
1763424176,92118.61312105971,0.51,0.52
1763424177,92107.97285154286,0.51,0.52
1763424178,92111.33440426685,0.48,0.5
1763424179,92107.56085962658,0.47,0.5
1763424180,92102.46173113868,0.48,0.5
1763424181,92094.5741185304,0.49,0.5
1763424182,92095.75855126836,0.49,0.5
