timestamp,symbol,price,delta,delta_pct,sigma,seconds_left,prob_up,bid,ask
1763128074,btc/usd,94677.486,0.0,0.0,0.0,726,1.0,0.52,0.54
1763128075,btc/usd,94675.849,-1.637,-0.0,0.0,725,0.0,0.51,0.54
1763128077,btc/usd,94674.623,-2.863,-0.0,3e-06,723,0.357,0.51,0.52
1763128078,btc/usd,94674.684,-2.802,-0.0,9e-06,722,0.453,0.48,0.49
1763128079,btc/usd,94654.25,-23.236,-0.0002,6.6e-05,721,0.445,0.47,0.5
1763128081,btc/usd,94642.586,-34.9,-0.0004,6.6e-05,719,0.418,0.48,0.5
1763128082,btc/usd,94642.586,-34.9,-0.0004,6.5e-05,718,0.416,0.49,0.51
1763128083,btc/usd,94645.615,-31.871,-0.0003,6.5e-05,717,0.424,0.52,0.55
1763128085,btc/usd,94661.692,-15.795,-0.0002,9e-05,715,0.473,0.5,0.51
1763128086,btc/usd,94659.34,-18.146,-0.0002,8.2e-05,714,0.466,0.47,0.49
1763128088,btc/usd,94648.673,-28.813,-0.0003,8.3e-05,712,0.446,0.46,0.48
1763128089,btc/usd,94645.617,-31.869,-0.0003,8e-05,711,0.438,0.45,0.47
1763128090,btc/usd,94620.808,-56.678,-0.0006,8.3e-05,710,0.394,0.41,0.43
1763128092,btc/usd,94601.723,-75.763,-0.0008,9e-05,708,0.369,0.42,0.44
1763128093,btc/usd,94596.29,-81.196,-0.0009,8.5e-05,707,0.353,0.43,0.44
1763128094,btc/usd,94603.546,-73.94,-0.0008,8.8e-05,706,0.369,0.44,0.45
1763128096,btc/usd,94607.937,-69.549,-0.0007,8.7e-05,704,0.376,0.47,0.48
1763128097,btc/usd,94617.318,-60.168,-0.0006,9e-05,703,0.395,0.49,0.51
1763128098,btc/usd,94637.053,-40.433,-0.0004,9.8e-05,702,0.435,0.5,0.52
1763128100,btc/usd,94655.993,-21.493,-0.0002,0.000103,700,0.467,0.46,0.48
1763128101,btc/usd,94635.189,-42.298,-0.0004,0.000109,699,0.439,0.44,0.45
1763128103,btc/usd,94609.569,-67.917,-0.0007,0.000117,697,0.409,0.45,0.46
1763128104,btc/usd,94604.952,-72.534,-0.0008,0.000115,696,0.401,0.47,0.48
1763128105,btc/usd,94615.839,-61.647,-0.0007,0.000114,695,0.414,0.47,0.48
1763128107,btc/usd,94625.272,-52.214,-0.0006,0.000114,693,0.428,0.46,0.48
1763128108,btc/usd,94618.419,-59.067,-0.0006,0.000111,692,0.416,0.47,0.49
1763128110,btc/usd,94627.482,-50.004,-0.0005,0.000111,690,0.429,0.46,0.5
1763128111,btc/usd,94631.782,-45.704,-0.0005,0.000109,689,0.433,0.47,0.49
1763128113,btc/usd,94628.613,-48.873,-0.0005,0.000107,687,0.428,0.47,0.49
1763128114,btc/usd,94625.35,-52.136,-0.0006,0.000105,686,0.421,0.49,0.5
1763128115,btc/usd,94645.307,-32.179,-0.0003,0.000109,685,0.453,0.49,0.52
1763128117,btc/usd,94648.546,-28.94,-0.0003,0.000108,683,0.457,0.48,0.49
1763128118,btc/usd,94653.534,-23.952,-0.0003,0.000106,682,0.464,0.5,0.53
1763128120,btc/usd,94658.745,-18.741,-0.0002,0.000105,680,0.472,0.49,0.5
1763128121,btc/usd,94658.745,-18.741,-0.0002,0.000104,679,0.471,0.46,0.48
1763128122,btc/usd,94626.543,-50.943,-0.0005,0.000114,678,0.428,0.46,0.48
1763128124,btc/usd,94619.272,-58.214,-0.0006,0.000112,676,0.417,0.47,0.49
1763128125,btc/usd,94623.413,-54.073,-0.0006,0.000111,675,0.422,0.47,0.49
1763128126,btc/usd,94622.913,-54.574,-0.0006,0.00011,674,0.42,0.47,0.5
1763128128,btc/usd,94631.392,-46.094,-0.0005,0.000109,672,0.432,0.48,0.49
1763128129,btc/usd,94632.057,-45.429,-0.0005,0.000108,671,0.432,0.46,0.48
1763128130,btc/usd,94629.836,-47.65,-0.0005,0.000106,670,0.427,0.5,0.54
1763128132,btc/usd,94629.836,-47.65,-0.0005,0.000105,668,0.427,0.5,0.53
1763128133,btc/usd,94666.009,-11.477,-0.0001,0.000116,667,0.484,0.49,0.52
1763128134,btc/usd,94658.416,-19.07,-0.0002,0.000114,666,0.473,0.47,0.49
1763128136,btc/usd,94656.313,-21.173,-0.0002,0.000113,664,0.47,0.47,0.49
1763128137,btc/usd,94644.463,-33.023,-0.0003,0.000113,663,0.453,0.48,0.5
1763128138,btc/usd,94639.305,-38.181,-0.0004,0.000113,662,0.446,0.48,0.5
1763128140,btc/usd,94633.117,-44.369,-0.0005,0.000113,660,0.436,0.49,0.5
1763128141,btc/usd,94639.26,-38.226,-0.0004,0.000112,659,0.445,0.51,0.53
1763128142,btc/usd,94642.223,-35.263,-0.0004,0.000111,658,0.449,0.54,0.56
1763128144,btc/usd,94675.247,-2.239,-0.0,0.000114,656,0.497,0.56,0.58
1763128145,btc/usd,94685.734,8.248,0.0001,0.000114,655,0.512,0.58,0.6
1763128147,btc/usd,94711.628,34.142,0.0004,0.000115,653,0.549,0.59,0.6
1763128148,btc/usd,94717.867,40.381,0.0004,0.000114,652,0.559,0.59,0.6
1763128149,btc/usd,94722.645,45.159,0.0005,0.000113,651,0.566,0.59,0.6
1763128151,btc/usd,94724.441,46.955,0.0005,0.000112,649,0.569,0.6,0.62
1763128152,btc/usd,94726.011,48.525,0.0005,0.000111,648,0.572,0.59,0.61
1763128153,btc/usd,94731.377,53.891,0.0006,0.000111,647,0.58,0.61,0.63
1763128155,btc/usd,94734.818,57.332,0.0006,0.00011,645,0.586,0.57,0.58
1763128156,btc/usd,94728.114,50.628,0.0005,0.00011,644,0.576,0.57,0.59
1763128157,btc/usd,94714.124,36.638,0.0004,0.000111,643,0.555,0.57,0.6
1763128159,btc/usd,94711.971,34.485,0.0004,0.00011,641,0.553,0.57,0.59
1763128160,btc/usd,94710.616,33.13,0.0003,0.000108,640,0.551,0.56,0.58
1763128162,btc/usd,94710.616,33.13,0.0003,0.000108,638,0.551,0.57,0.6
1763128164,btc/usd,94702.696,25.21,0.0003,0.000109,636,0.539,0.51,0.52
1763128165,btc/usd,94685.861,8.375,0.0001,0.000109,635,0.513,0.47,0.5
1763128167,btc/usd,94658.287,-19.199,-0.0002,0.000113,633,0.472,0.48,0.52
1763128168,btc/usd,94647.552,-29.934,-0.0003,0.000113,632,0.456,0.5,0.53
1763128169,btc/usd,94652.151,-25.335,-0.0003,0.000112,631,0.463,0.49,0.5
1763128171,btc/usd,94653.523,-23.963,-0.0003,0.000111,629,0.464,0.47,0.51
1763128172,btc/usd,94655.647,-21.839,-0.0002,0.00011,628,0.467,0.5,0.53
1763128174,btc/usd,94657.377,-20.109,-0.0002,0.000109,626,0.47,0.48,0.49
1763128175,btc/usd,94663.434,-14.052,-0.0001,0.000109,625,0.479,0.47,0.5
1763128176,btc/usd,94634.77,-42.716,-0.0005,0.000112,624,0.436,0.48,0.51
1763128178,btc/usd,94641.847,-35.639,-0.0004,0.000112,622,0.447,0.45,0.48
1763128179,btc/usd,94637.34,-40.146,-0.0004,0.000111,621,0.439,0.45,0.48
1763128180,btc/usd,94626.891,-50.595,-0.0005,0.000111,620,0.424,0.46,0.49
1763128182,btc/usd,94628.577,-48.909,-0.0005,0.00011,618,0.426,0.45,0.48
1763128183,btc/usd,94628.94,-48.546,-0.0005,0.00011,617,0.426,0.45,0.48
1763128184,btc/usd,94631.133,-46.353,-0.0005,0.000109,616,0.428,0.46,0.49
1763128186,btc/usd,94629.474,-48.012,-0.0005,0.000108,614,0.426,0.45,0.48
1763128187,btc/usd,94630.43,-47.056,-0.0005,0.000108,613,0.427,0.44,0.47
1763128189,btc/usd,94634.543,-42.943,-0.0005,0.000107,611,0.432,0.45,0.48
1763128190,btc/usd,94621.594,-55.892,-0.0006,0.000107,610,0.412,0.46,0.49
1763128192,btc/usd,94627.612,-49.874,-0.0005,0.000106,608,0.421,0.46,0.49
1763128193,btc/usd,94627.612,-49.874,-0.0005,0.000106,607,0.421,0.49,0.5
1763128194,btc/usd,94637.773,-39.713,-0.0004,0.000106,606,0.437,0.52,0.53
1763128196,btc/usd,94662.698,-14.788,-0.0002,0.000107,604,0.477,0.49,0.51
1763128197,btc/usd,94673.677,-3.809,-0.0,0.000107,603,0.494,0.53,0.56
1763128198,btc/usd,94676.577,-0.909,-0.0,0.000106,602,0.499,0.54,0.56
1763128200,btc/usd,94688.334,10.847,0.0001,0.000107,600,0.518,0.54,0.57
1763128201,btc/usd,94693.838,16.352,0.0002,0.000106,599,0.527,0.5,0.53
1763128202,btc/usd,94689.036,11.55,0.0001,0.000106,598,0.519,0.55,0.58
1763128204,btc/usd,94674.453,-3.033,-0.0,0.000106,596,0.496,0.56,0.58
1763128205,btc/usd,94678.279,0.793,0.0,0.000106,595,0.502,0.56,0.57
1763128207,btc/usd,94705.297,27.811,0.0003,0.000108,593,0.545,0.56,0.59
1763128208,btc/usd,94696.768,19.282,0.0002,0.000108,592,0.531,0.57,0.6
1763128209,btc/usd,94707.718,30.232,0.0003,0.000108,591,0.549,0.57,0.61
1763128211,btc/usd,94713.187,35.701,0.0004,0.000107,589,0.558,0.57,0.6
1763128212,btc/usd,94713.158,35.671,0.0004,0.000106,588,0.559,0.53,0.54
1763128213,btc/usd,94688.78,11.294,0.0001,0.000108,587,0.519,0.49,0.51
1763128215,btc/usd,94662.304,-15.182,-0.0002,0.00011,585,0.477,0.45,0.46
1763128216,btc/usd,94639.838,-37.648,-0.0004,0.000112,584,0.442,0.46,0.49
1763128217,btc/usd,94635.218,-42.268,-0.0004,0.000111,583,0.434,0.46,0.48
1763128219,btc/usd,94639.111,-38.375,-0.0004,0.000111,581,0.44,0.43,0.45
1763128220,btc/usd,94637.871,-39.615,-0.0004,0.00011,580,0.438,0.4,0.42
1763128221,btc/usd,94608.445,-69.041,-0.0007,0.000112,579,0.394,0.42,0.43
1763128223,btc/usd,94596.243,-81.243,-0.0009,0.000112,577,0.376,0.47,0.5
1763128224,btc/usd,94618.411,-59.075,-0.0006,0.000113,576,0.41,0.47,0.5
1763128225,btc/usd,94637.763,-39.723,-0.0004,0.000114,575,0.44,0.49,0.51
